13083704,ASRock 라데온 RX 6800 CHALLENGER Pro OC D6 16GB 에즈윈,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,0,2000000,2000000,2000000,2000000,2000000,2000000
12948032,ASRock 라데온 RX 6800 XT Taichi X OC D6 16GB 에즈윈,3500000,3500000,3500000,1790000,1933200,1933200,1933200,1933200,1933200,1876000,1876000,1876000,1552250,1552250,1876000,1876000,1876000,1876000,1876000,1876000,1876000,1876000,1902180,1902180,1902180,1902180,1902180,1902180,1902180,1902180
6209999,ASUS AREZ DUAL 라데온 RX 580 O4G D5 4GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6739429,ASUS DUAL 라데온 RX 580 O8G D5 8GB,864500,1166620,749000,749000,749000,749000,749000,749000,749000,749000,749000,749000,749000,749000,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900
13648103,ASUS DUAL 라데온 RX 6700 XT D6 12GB,1800000,1800000,1718840,1411900,1411900,1411900,1411900,1411900,1363220,1291010,1313220,1313220,1313220,1313220,1105920,1105920,1105920,1096000,1092690,1092450,1092210,1092000,1055300,0,1055300,1055300,1055300,1055300,1055300,1055300
13653296,ASUS DUAL 라데온 RX 6700 XT D6 12GB 대원CTS,1266720,1251770,1251590,1248250,1248010,1247820,1226900,1226720,1226610,1183460,1165190,1165020,1164830,1164600,1164410,1164300,1168230,1168230,1168230,1168230,1168230,1168000,1168000,0,1167800,1153810,1153750,1153750,1153570,1153390
7049467,ASUS DUAL 지포스 RTX 2060 A6G D6 6GB,1072740,1072740,1072740,1072740,1072740,1072740,1072740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13654145,ASUS DUAL 지포스 RTX 2060 EVO D6 6GB,804600,738000,738000,738000,738000,738000,738000,738000,738000,738000,738000,699000,699000,699000,608000,608000,608000,640000,640000,640000,640000,640000,640000,639900,639900,639900,639900,639900,639900,639900
8084563,ASUS DUAL 지포스 RTX 2060 O6G EVO D6 6GB,758500,757730,725900,704280,699410,699220,699100,697370,692990,691540,683740,653000,653000,653000,640000,640000,640000,640000,640000,640000,640000,640000,643940,624590,624000,619920,619740,619560,617000,593920
8523375,ASUS DUAL 지포스 RTX 2060 SUPER O8G EVO D6 8GB,1130000,1130000,1130000,1130000,1130000,1130000,1130000,1130000,1130000,1130000,1130000,1130000,1130000,1130000,904000,904000,904000,904000,904000,904000,904000,904000,904000,904000,904000,904000,904000,904000,904000,904000
11796100,ASUS DUAL 지포스 RTX 2060 SUPER O8G EVO V2 D6 8GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8795456,ASUS DUAL 지포스 RTX 2080 SUPER O8G EVO D6 8GB,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,1819900,0,1819900,1819900,1819900,1819900,1819900,1819900
6401552,ASUS DUAL 지포스 RTX 2080 Ti O11G D6 11GB,3027280,3027280,3027280,3027280,3027280,3027280,3027280,3027280,3027280,3027280,3027280,3027280,3027280,3027280,2557900,2557900,2557900,2557900,2557900,2557900,2557900,2557900,2557900,0,2557900,2557900,2557900,2557900,2557900,2557900
13612532,ASUS DUAL 지포스 RTX 3060 O12G OC D6 12GB,1499950,1468450,1007000,1007000,1007000,975200,975200,975200,873000,819000,794000,793880,793640,793460,784680,783270,782500,779950,781300,775060,771320,770330,769800,761210,761070,755770,755590,755350,754000,728650
12821624,ASUS DUAL 지포스 RTX 3060 Ti O8G OC D6 8GB,3000000,3000000,3000000,3000000,3100000,3100000,3100000,3100000,3100000,3100000,3100000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,0,3000000,3000000,3000000,3000000,3000000,3000000
14005937,ASUS KO 지포스 RTX 3060 O12G GAMING OC D6 12GB,1102000,1081500,1081500,1012500,949500,949500,949500,939600,938700,943200,889050,876700,876700,876000,847110,846930,868850,868800,868800,868790,868730,868000,866910,866730,853380,845550,845040,844800,838000,838000
12821543,ASUS KO 지포스 RTX 3060 Ti GAMING D6 8GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537900,1278800,1242000,1242000,1242000,1242000,1242000,1242000,1242000,1242000,1242000,1242000,0,0
12578006,ASUS KO 지포스 RTX 3070 GAMING D6 8GB,1627510,1620000,1404000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000
