14351603,ASUS ROG STRIX LC 라데온 RX 6900 XT O16G GAMING OC D6 16GB 대원CTS,1977470,0,1977370
14452217,ASUS ROG STRIX LC 라데온 RX 6900 XT T16G GAMING D6 16GB 대원CTS,2500000,2500000,2500000
17011961,ASUS ROG STRIX LC 지포스 RTX 3090 Ti O24G OC D6X 24GB (해외구매),5779090,5779090,5779090
15013721,ASUS ROG STRIX 라데온 RX 6600 XT O8G GAMING OC D6 8GB 대원CTS,682500,682500,682500
13648004,ASUS ROG STRIX 라데온 RX 6700 XT O12G GAMING OC D6 12GB,1440000,1440000,1440000
13653392,ASUS ROG STRIX 라데온 RX 6700 XT O12G GAMING OC D6 12GB 대원CTS,1659000,1659000,1659000
13563083,ASUS ROG STRIX 라데온 RX 6800 O16G GAMING OC D6 16GB,1341070,1340950,1340870
12990398,ASUS ROG STRIX 라데온 RX 6800 O16G GAMING OC D6 16GB 대원CTS,1312250,1312250,1312250
13467587,ASUS ROG STRIX 지포스 RTX 3060 O12G GAMING OC D6 12GB,749000,749000,749000
12821834,ASUS ROG STRIX 지포스 RTX 3060 Ti O8G GAMING OC D6 8GB,1138340,1138340,1138340
13212008,ASUS ROG STRIX 지포스 RTX 3070 O8G GAMING OC D6 8GB,1020000,0,1020000
14490560,ASUS ROG STRIX 지포스 RTX 3070 O8G GAMING OC D6 8GB White,1263990,1536000,1504000
14444174,ASUS ROG STRIX 지포스 RTX 3070 Ti GAMING D6X 8GB,1107780,1107710,1107630
14444267,ASUS ROG STRIX 지포스 RTX 3070 Ti O8G GAMING OC D6X 8GB,1021060,1023850,1023770
16478888,ASUS ROG STRIX 지포스 RTX 3080 GAMING D6X 12GB,1578990,0,1578990
12204407,ASUS ROG STRIX 지포스 RTX 3080 O10G GAMING OC D6X 10GB,1259750,1259750,1181460
14474075,ASUS ROG STRIX 지포스 RTX 3080 O10G GAMING OC D6X 10GB White,1809280,0,1809280
16249895,ASUS ROG STRIX 지포스 RTX 3080 O12G GAMING OC D6X 12GB,1565990,1648990,1648910
14379920,ASUS ROG STRIX 지포스 RTX 3080 Ti O12G GAMING OC D6X 12GB,1973990,1973990,1973990
12204422,ASUS ROG STRIX 지포스 RTX 3090 O24G GAMING OC D6X 24GB,2299000,2299000,2299000
14081975,ASUS ROG STRIX 지포스 RTX 3090 O24G GAMING OC D6X 24GB White,2299000,0,0
16288850,ASUS TUF Gaming 라데온 RX 6500 XT O4G OC D6 4GB 대원CTS,355290,355190,355180
13647839,ASUS TUF Gaming 라데온 RX 6700 XT O12G OC D6 12GB,1260000,1260000,1260000
13653428,ASUS TUF Gaming 라데온 RX 6700 XT O12G OC D6 12GB 대원CTS,737000,737000,737000
13563296,ASUS TUF Gaming 라데온 RX 6800 O16G OC D6 16GB,1145120,1145050,1144980
12990260,ASUS TUF Gaming 라데온 RX 6800 O16G OC D6 16GB 대원CTS,1154320,1154320,1154320
13173020,ASUS TUF Gaming 라데온 RX 6800 XT O16G OC D6 16GB,1348990,1348990,1348990
13029701,ASUS TUF Gaming 라데온 RX 6800 XT O16G OC D6 16GB 대원CTS,1370000,1370000,1370000
13218083,ASUS TUF Gaming 라데온 RX 6900 XT O16G OC D6 16GB,1016640,1016640,1016640
15861422,ASUS TUF Gaming 라데온 RX 6900 XT T16G D6 16GB,1079990,1079990,1079990
15401348,ASUS TUF Gaming 지포스 GTX 1650 4G D6 4GB,347700,347630,347610
12464813,ASUS TUF Gaming 지포스 GTX 1650 O4G P D6 4GB,326280,326210,326180
12464768,ASUS TUF Gaming 지포스 GTX 1650 P D6 4GB,330800,330800,330760
11376237,ASUS TUF Gaming 지포스 GTX 1650 SUPER 4G D6 4GB,539100,539100,539100
7463605,ASUS TUF Gaming 지포스 GTX 1660 O6G D5 6GB,533580,0,533580
11686493,ASUS TUF Gaming 지포스 GTX 1660 SUPER 6G D6 6GB,400200,400200,400200
9909333,ASUS TUF Gaming 지포스 GTX 1660 SUPER O6G D6 6GB,411690,411690,405280
15108326,ASUS TUF Gaming 지포스 GTX 1660 Ti O6G EVO OC D6 6GB,393090,0,393010
13467590,ASUS TUF Gaming 지포스 RTX 3060 O12G OC D6 12GB,601690,601690,601690
12821741,ASUS TUF Gaming 지포스 RTX 3060 Ti O8G OC D6 8GB,795550,795420,795400
12840242,ASUS TUF Gaming 지포스 RTX 3070 O8G OC D6 8GB,996400,996400,959000
14444531,ASUS TUF Gaming 지포스 RTX 3070 Ti D6X 8GB,944830,944660,942560
14444705,ASUS TUF Gaming 지포스 RTX 3070 Ti O8G OC D6X 8GB,923420,923430,913790
16410413,ASUS TUF Gaming 지포스 RTX 3080 D6X 10GB,1690000,1690000,1690000
16479002,ASUS TUF Gaming 지포스 RTX 3080 D6X 12GB,0,0,0
12204362,ASUS TUF Gaming 지포스 RTX 3080 O10G OC D6X 10GB,1320900,1320900,1320900
16250300,ASUS TUF Gaming 지포스 RTX 3080 O12G OC D6X 12GB,1356790,1356790,1356790
14379926,ASUS TUF Gaming 지포스 RTX 3080 Ti D6X 12GB,1747620,0,1747620
14365328,ASUS TUF Gaming 지포스 RTX 3080 Ti O12G OC D6X 12GB,1570800,1500000,1500000
12204377,ASUS TUF Gaming 지포스 RTX 3090 D6X 24GB,1974230,1974230,1974230
12204395,ASUS TUF Gaming 지포스 RTX 3090 O24G OC D6X 24GB,2269000,2269000,2269000
16707131,ASUS TUF Gaming 지포스 RTX 3090 Ti D6X 24GB,3161340,3161340,3161340
16707176,ASUS TUF Gaming 지포스 RTX 3090 Ti O24G OC D6X 24GB,3227960,3227960,3227960
12963791,ASUS TURBO 지포스 RTX 2060 D6 6GB,2130000,2130000,2130000
16358267,COLORFUL iGAME 지포스 RTX 2060 Ultra OC D6 12GB White,580990,580990,580990
14742041,COLORFUL iGAME 지포스 RTX 3060 Advanced OC D6 12GB LHR,532530,532530,532530
15917972,COLORFUL iGAME 지포스 RTX 3060 Ti Advanced OC D6 8GB LHR,1125580,1125580,1125580
15454757,COLORFUL iGAME 지포스 RTX 3060 Ti Ultra OC D6 8GB White LHR,1003120,1003120,731000
15014549,COLORFUL iGAME 지포스 RTX 3060 Ti Vulcan OC D6 8GB LHR,1500000,0,1500000
14625236,COLORFUL iGAME 지포스 RTX 3060 Ultra OC D6 12GB White LHR,626080,626080,626080
14658383,COLORFUL iGAME 지포스 RTX 3070 Ti Advanced OC D6X 8GB,1220000,1220000,1220000
15166637,COLORFUL iGAME 지포스 RTX 3070 Ti Ultra OC D6X 8GB White,1044340,0,1044340
14658188,COLORFUL iGAME 지포스 RTX 3070 Ti Vulcan OC D6X 8GB,1266990,1266990,1266990
14966102,COLORFUL iGAME 지포스 RTX 3070 Ultra OC D6 8GB White LHR,980990,980990,980990
15296465,COLORFUL iGAME 지포스 RTX 3080 Advanced OC D6X 10GB LHR,1135590,1135590,1193510
16152221,COLORFUL iGAME 지포스 RTX 3080 Advanced OC D6X 12GB LHR,1249990,1249990,1249990
14351591,COLORFUL iGAME 지포스 RTX 3080 Ti Advanced OC D6X 12GB,1647100,1647100,1647100
14625068,COLORFUL iGAME 지포스 RTX 3080 Ti Vulcan OC D6X 12GB,2136380,2136370,2136370
14944241,COLORFUL iGAME 지포스 RTX 3080 Ultra OC D6X 10GB LHR,1167530,1167520,1167520
16537685,COLORFUL iGAME 지포스 RTX 3080 Ultra OC D6X 12GB White LHR,2200000,2200000,2200000
14944283,COLORFUL iGAME 지포스 RTX 3080 Vulcan OC D6X 10GB LHR,4550000,0,4550000
16537493,COLORFUL iGAME 지포스 RTX 3080 Vulcan OC D6X 12GB LHR,1746290,1746290,1746290
12408941,COLORFUL iGAME 지포스 RTX 3090 Advanced D6X 24GB,0,0,0
12190127,COLORFUL iGAME 지포스 RTX 3090 Advanced OC D6X 24GB,2001790,2001790,2001780
15196715,COLORFUL iGAME 지포스 RTX 3090 Kudan D6X 24GB,4023980,4023980,4023980
12244874,COLORFUL iGAME 지포스 RTX 3090 Neptune OC D6X 24GB,2720480,2720480,2720480
16706693,COLORFUL iGAME 지포스 RTX 3090 Ti Vulcan OC D6X 24GB,2523700,2523700,2523700
15477260,COLORFUL iGAME 지포스 RTX 3090 Vulcan OC D6X 24GB,2529350,2529270,2472540
11189739,COLORFUL 지포스 GTX 1650 토마호크 D6 4GB,379000,379000,379000
9790116,COLORFUL 지포스 GTX 1660 SUPER 토마호크 D6 6GB,464000,0,486490
15049220,COLORFUL 지포스 GTX 1660 SUPER 토마호크 V2 D6 6GB,371740,371610,371590
9844860,COLORFUL 지포스 GTX 1660 Ti 토마호크 D6 6GB,1500000,1500000,1500000
