13805453,ASRock 라데온 RX 6700 XT CHALLENGER D D6 12GB 디앤디컴,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000
13645739,ASRock 라데온 RX 6700 XT CHALLENGER D D6 12GB 에즈윈,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000,1573000
15189572,ASRock 라데온 RX 6700 XT CHALLENGER D OC D6 12GB 디앤디컴,1272290,1272290,1272290,1272290,1272290,1272290,1272290,1272290,1272290,1272290,1272290,1272290,1301210,1301210,1301210,1301210,1301210,1301210,1301210,1301210,1301210,1301210,1301210,1301210,1301210,1301210
13805687,ASRock 라데온 RX 6700 XT CHALLENGER Pro OC D6 12GB 디앤디컴,698170,698040,697860,697680,697450,697210,697020,696960,696730,696720,696540,696360,696180,696120,696010,695820,695590,753100,753100,753100,753100,753100,753100,753100,746900,746900
13645580,ASRock 라데온 RX 6700 XT CHALLENGER Pro OC D6 12GB 에즈윈,699480,699300,699180,698940,697770,697710,705520,705280,705220,705040,704980,704920,704680,704440,704380,704320,704200,764990,723740,764750,764580,764520,764330,764270,764030,763790
13083704,ASRock 라데온 RX 6800 CHALLENGER Pro OC D6 16GB 에즈윈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12948032,ASRock 라데온 RX 6800 XT Taichi X OC D6 16GB 에즈윈,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000
16288661,ASUS DUAL 라데온 RX 6500 XT O4G OC D6 4GB 대원CTS,302620,302440,302380,302200,302080,301860,300610,300370,300130,299950,298740,298560,298320,295330,295090,294900,294660,294480,294240,293960,293720,0,293240,293000,292760,292530
15444875,ASUS DUAL 라데온 RX 6600 D6 8GB,489000,489000,489000,489000,489000,489000,489000,489000,489000,489000,489000,489000,548000,548000,548000,548000,548000,548000,548000,380710,380710,380720,398990,398990,398990,720000
15605021,ASUS DUAL 라데온 RX 6600 D6 8GB 대원CTS,395000,395000,395000,397000,445200,445200,445200,399000,399000,399000,398820,398650,398470,384410,384160,383980,383690,383440,383210,383020,382840,382600,382540,382310,382180,382000
15013853,ASUS DUAL 라데온 RX 6600 XT O8G OC D6 8GB 대원CTS,605760,605580,605460,605230,604990,604750,603880,603640,603460,603220,602980,602800,602620,598930,598690,598500,598270,598020,597780,597550,597420,597130,596940,596880,596650,596470
13653296,ASUS DUAL 라데온 RX 6700 XT D6 12GB 대원CTS,880000,880000,880000,880000,865770,865530,865340,865280,865220,865040,854920,854860,854680,854330,854090,853900,737000,737000,737000,737000,737000,737000,737000,737000,715000,715000
