15552671,ASUS DUAL 라데온 RX 6700 XT O12G OC D6 12GB 대원씨티에스,655200,655200,530400,530400,530400,655200,655200,655200,655200,655200,655200,0,655200,655200,535600
10707171,ASUS DUAL 지포스 GTX 1650 4G D5 4GB,229290,229290,229290,229290,229290,232750,229600,232750,232710,232690,232670,229570,229540,0,229480
7779556,ASUS DUAL 지포스 GTX 1650 O4G D5 4GB,231650,231620,231560,231540,231430,229200,228970,228850,228800,228780,228760,228740,228720,228690,228640
15468500,ASUS DUAL 지포스 GTX 1650 O4G OC MINI D6 4GB,261000,261000,261000,261000,261000,261000,261000,261000,261000,261000,261000,261000,261000,261000,261000
11068359,ASUS DUAL 지포스 GTX 1660 SUPER O6G EVO D6 6GB,314990,314990,314990,314990,314980,314990,314990,314990,314990,314990,314990,314980,314990,314990,314990
16485713,ASUS DUAL 지포스 RTX 2060 EVO D6 12GB,505960,505930,505910,505890,505870,505850,505830,505810,505790,505770,505750,505730,505710,505690,505650
13654145,ASUS DUAL 지포스 RTX 2060 EVO D6 6GB,361810,361810,361810,361810,361810,361810,361810,361810,361810,361810,361810,361810,361810,361810,361810
8084563,ASUS DUAL 지포스 RTX 2060 O6G EVO D6 6GB,363950,358690,362880,362860,362840,368970,0,0,368860,0,368820,0,368780,359430,360800
13612532,ASUS DUAL 지포스 RTX 3060 O12G OC D6 12GB,451430,445870,439000,439000,439000,437000,435000,439490,437000,437000,437000,437000,437000,443390,467000
12821624,ASUS DUAL 지포스 RTX 3060 Ti O8G OC D6 8GB,609000,609000,609000,609000,609000,609000,609000,593960,593900,593880,593840,593800,593780,572000,589440
14857055,ASUS DUAL 지포스 RTX 3060 Ti O8G OC MINI D6 8GB,576170,566520,566650,566600,566580,561420,562760,561000,561000,561000,561000,561000,561000,562700,569320
15805079,ASUS DUAL 지포스 RTX 3070 D6 8GB,720250,720250,720250,720250,720250,720250,720250,720250,720250,720250,720250,720250,720250,720250,720250
15754070,ASUS DUAL 지포스 RTX 3070 O8G OC D6 8GB,1257470,1257470,1257470,1257470,1257470,1257470,1257470,1257470,1257470,1257470,1257470,1257470,1257470,1257470,1257470
16315202,ASUS KO 지포스 RTX 3060 GAMING D6 12GB,561000,638580,638580,638580,638580,638580,638580,638580,638580,638580,624690,624690,624690,624690,624690
14005937,ASUS KO 지포스 RTX 3060 O12G GAMING OC D6 12GB,592990,592990,593480,593480,593480,593490,0,0,606240,0,606240,606210,0,0,565940
12821543,ASUS KO 지포스 RTX 3060 Ti GAMING D6 8GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12821576,ASUS KO 지포스 RTX 3060 Ti O8G GAMING OC D6 8GB,668780,653600,646790,646790,653440,645000,0,0,637500,0,637500,0,637500,639200,646720
12578006,ASUS KO 지포스 RTX 3070 GAMING D6 8GB,848740,848740,848740,848740,848740,809940,809940,809940,809940,809940,809940,809940,809940,809940,809940
12578009,ASUS KO 지포스 RTX 3070 O8G GAMING OC D6 8GB,732990,732990,732990,732990,732990,732990,732950,729210,720740,0,720640,0,720600,707220,703870
7779559,ASUS PH 지포스 GTX 1650 O4G D5 4GB,278530,249520,249520,249520,249520,249520,249520,249520,239000,239000,239000,0,0,0,249520
14346383,ASUS PH 지포스 GTX 1650 O4G D6 4GB,498990,498990,498990,498990,498990,498990,498990,498990,498990,498990,498990,498990,498990,498990,498990
7463521,ASUS PH 지포스 GTX 1660 O6G D5 6GB,247140,247100,247070,247050,247030,235480,254860,254840,254820,254800,254780,254760,254740,254720,254680
11645843,ASUS PH 지포스 GTX 1660 SUPER O6G D6 6GB,285260,285220,285190,285190,285190,424120,424120,424120,424120,424120,424120,0,424120,424120,424120
