12821624,ASUS DUAL 지포스 RTX 3060 Ti O8G OC D6 8GB,861000,861000,861000,861000,861000,860000,724500,724500
14857055,ASUS DUAL 지포스 RTX 3060 Ti O8G OC MINI D6 8GB,830000,773490,773490,773490,773490,770000,770000,770000
15805079,ASUS DUAL 지포스 RTX 3070 D6 8GB,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1090000
15754070,ASUS DUAL 지포스 RTX 3070 O8G OC D6 8GB,1269920,1269630,1269390,1269150,1270040,1269800,1269560,1269320
16315202,ASUS KO 지포스 RTX 3060 GAMING D6 12GB,916080,936900,936900,936900,905670,905670,905670,905670
14005937,ASUS KO 지포스 RTX 3060 O12G GAMING OC D6 12GB,795000,795000,795000,795000,628950,616830,609000,609000
12821543,ASUS KO 지포스 RTX 3060 Ti GAMING D6 8GB,0,0,0,0,0,0,0,0
12821576,ASUS KO 지포스 RTX 3060 Ti O8G GAMING OC D6 8GB,749000,749000,749000,749000,748760,748460,748220,748170
12578006,ASUS KO 지포스 RTX 3070 GAMING D6 8GB,993940,963060,963060,963060,963060,963060,963060,963060
12578009,ASUS KO 지포스 RTX 3070 O8G GAMING OC D6 8GB,892500,892470,892500,892500,881000,881900,881900,881900
7779559,ASUS PH 지포스 GTX 1650 O4G D5 4GB,320850,360400,360400,360400,349800,349800,349800,349800
14346383,ASUS PH 지포스 GTX 1650 O4G D6 4GB,363800,363800,363800,374000,493540,493250,493060,492880
7463521,ASUS PH 지포스 GTX 1660 O6G D5 6GB,554630,554460,554270,554270,554210,553920,553730,553550
11645843,ASUS PH 지포스 GTX 1660 SUPER O6G D6 6GB,502320,513730,513550,513370,513310,513250,461100,461750
13562696,ASUS ROG STRIX LC 라데온 RX 6800 XT O16G GAMING OC D6 16GB,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170
12990644,ASUS ROG STRIX LC 라데온 RX 6800 XT O16G GAMING OC D6 16GB 대원CTS,1547600,1547600,1547600,1547600,1547600,1547600,1547600,1547600
13562870,ASUS ROG STRIX LC 라데온 RX 6900 XT O16G GAMING OC D6 16GB,2105500,2105500,2105500,2105500,2105500,2105500,2105500,2095000
14351603,ASUS ROG STRIX LC 라데온 RX 6900 XT O16G GAMING OC D6 16GB 대원CTS,0,0,0,0,0,2051920,2051860,2043920
14452217,ASUS ROG STRIX LC 라데온 RX 6900 XT T16G GAMING D6 16GB 대원CTS,2350000,2350000,2350000,2350000,2350000,2350000,2350000,2350000
10408080,ASUS ROG STRIX 라데온 RX 5600 XT O6G GAMING D6 6GB,1610000,1610000,1610000,1610000,1610000,1610000,1610000,1610000
