13805687,ASRock 라데온 RX 6700 XT CHALLENGER Pro OC D6 12GB 디앤디컴,633700,633700,633700,633700,633700,633700,633700,628590,628510,628510,628510,628510,628510,0,628510,628510,628510,628510,628510,628510,628510,628510,628510,628510,628510,628510,628510
13645580,ASRock 라데온 RX 6700 XT CHALLENGER Pro OC D6 12GB 에즈윈,694040,694020,693930,693850,693770,693670,693610,693560,693470,693400,693370,693290,693210,693110,693030,692950,692850,692790,692770,692710,692690,692670,692640,692630,692620,692610,692600
12948032,ASRock 라데온 RX 6800 XT Taichi X OC D6 16GB 에즈윈,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,3510000,0,3018600,3018600,3018600,3018600,3018600,3018600,3018600,3088800,3088800,3088800,3088800,3088800
16288661,ASUS DUAL 라데온 RX 6500 XT O4G OC D6 4GB 대원CTS,249000,249000,249000,249000,249000,248960,248100,0,247920,247850,247770,247700,247630,0,247540,247460,247390,247360,247280,246690,246640,246620,246600,246580,246570,246540,237370
15444875,ASUS DUAL 라데온 RX 6600 D6 8GB,720000,720000,720000,720000,720000,720000,0,720000,720000,720000,720000,720000,720000,399000,399000,399000,399000,399000,399000,399000,720000,720000,720000,720000,720000,720000,720000
15605021,ASUS DUAL 라데온 RX 6600 D6 8GB 대원CTS,354030,353950,353850,353770,360500,360500,360500,360500,360500,360050,360050,392400,392400,0,392400,396860,409500,409500,399000,399000,423020,390000,390000,390000,390000,390000,0
15013853,ASUS DUAL 라데온 RX 6600 XT O8G OC D6 8GB 대원CTS,491750,491670,491580,491500,491420,491320,0,491160,491080,491010,490980,490900,490820,0,490640,490570,490480,490410,490340,490280,490240,490210,490200,490190,490180,490150,490130
13648103,ASUS DUAL 라데온 RX 6700 XT D6 12GB,0,0,0,0,0,0,0,555500,555500,555500,726260,726260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13653296,ASUS DUAL 라데온 RX 6700 XT D6 12GB 대원CTS,630000,574750,574750,630000,630000,630000,0,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,585600,630000,579500
15468317,ASUS DUAL 라데온 RX 6700 XT O12G OC D6 12GB,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,916170,967630
15552671,ASUS DUAL 라데온 RX 6700 XT O12G OC D6 12GB 대원CTS,618800,618800,618800,618800,618800,618800,618800,618800,618800,618800,618800,618800,618800,618800,618800,618800,618800,618800,618800,618800,602300,618800,635860,635860,635860,635860,635860
10707171,ASUS DUAL 지포스 GTX 1650 4G D5 4GB,337230,337230,337230,337230,337230,337230,337230,286200,286200,286200,286200,286200,286200,286200,286200,286200,286200,286200,286200,286200,286200,286200,286200,286200,286200,220500,244990
7779556,ASUS DUAL 지포스 GTX 1650 O4G D5 4GB,286570,286510,286480,286400,286340,286320,286250,286180,286120,286100,286030,286010,285920,0,285770,285740,285660,285590,285560,285480,285450,285440,285430,285420,285390,285360,285330
15468500,ASUS DUAL 지포스 GTX 1650 O4G OC MINI D6 4GB,320000,320000,320000,320000,320000,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990
11068359,ASUS DUAL 지포스 GTX 1660 SUPER O6G EVO D6 6GB,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,314990,314990,314980,314990,314990
16485713,ASUS DUAL 지포스 RTX 2060 EVO D6 12GB,377100,377300,377300,377300,377300,377300,377300,0,388990,0,388990,388990,388990,0,388990,395800,395720,395640,395540,395480,395460,395440,506370,506360,506350,506340,506330
13654145,ASUS DUAL 지포스 RTX 2060 EVO D6 6GB,340510,338870,338770,338690,338600,329630,329810,329720,329630,324830,324830,324830,329860,348400,348400,348400,348400,348400,348400,348400,348400,356550,356520,356500,356480,356460,356430
16180430,ASUS DUAL 지포스 RTX 2060 O12G EVO OC D6 12GB,394100,394100,394100,394100,394100,394100,382720,382720,374400,374400,374400,374400,374400,392990,392960,392900,392800,392730,392640,392560,392480,392460,392430,392420,392410,392360,392330
8084563,ASUS DUAL 지포스 RTX 2060 O6G EVO D6 6GB,324480,329990,329990,329990,324300,329990,329990,329980,329990,329990,329990,334970,334880,334800,334700,334850,334770,334690,327680,327680,327680,334990,337750,337750,337750,337750,354990
13612532,ASUS DUAL 지포스 RTX 3060 O12G OC D6 12GB,517270,496060,496060,499000,498990,501000,498990,0,498990,498990,498990,501000,501000,501000,498990,498990,501000,501000,501000,501000,488310,488310,488310,488310,488310,488310,0
12821624,ASUS DUAL 지포스 RTX 3060 Ti O8G OC D6 8GB,665000,665500,665500,665500,665500,665500,665500,663000,638000,638000,638000,638000,638000,638000,638000,638000,638000,658800,658800,658800,658800,658770,658710,658690,658660,658610,658580
14857055,ASUS DUAL 지포스 RTX 3060 Ti O8G OC MINI D6 8GB,658560,644180,644180,644180,644180,644180,644180,637440,637440,637440,637440,637440,618200,618200,618200,618200,618200,618200,618200,618200,618200,618200,618200,618200,618200,618200,0
15805079,ASUS DUAL 지포스 RTX 3070 D6 8GB,774000,774000,774000,774000,774000,774000,763250,763250,763250,763250,763250,752500,752500,752500,752500,752500,752500,752500,752500,752500,752500,752500,752500,752500,752500,731000,731000
15754070,ASUS DUAL 지포스 RTX 3070 O8G OC D6 8GB,1285150,1285150,1285150,1285150,1285150,1285150,1285150,1285110,1285030,1284950,1284890,1284870,1284800,1284750,1284670,1284600,1284510,1284450,1284440,1328570,1328570,1314290,1314270,1314260,1314250,1314240,1314230
16315202,ASUS KO 지포스 RTX 3060 GAMING D6 12GB,620200,620120,620020,619960,619940,619850,0,619680,619600,619530,619500,619420,619340,619270,619240,619180,619160,619090,619070,619060,619050,561000,561000,561000,561000,561000,561000
14005937,ASUS KO 지포스 RTX 3060 O12G GAMING OC D6 12GB,522290,511680,511610,511540,511900,511900,498800,511870,511850,511820,511750,518190,529890,499200,499200,499200,499200,499200,499200,499200,536040,536040,536040,538270,538280,555500,555500
12821543,ASUS KO 지포스 RTX 3060 Ti GAMING D6 8GB,840990,840990,840990,840990,840990,840990,840990,840990,840990,840990,840990,840990,840990,0,0,680200,680200,680200,680200,680200,680200,650020,650020,650020,650020,650020,650020
12821576,ASUS KO 지포스 RTX 3060 Ti O8G GAMING OC D6 8GB,684760,680250,680250,680250,646950,684720,647960,668960,650000,650000,650000,649940,628590,628590,628590,628590,628590,628590,628590,628590,628590,628590,628590,628590,628590,628590,0
12578006,ASUS KO 지포스 RTX 3070 GAMING D6 8GB,918590,918590,918590,918590,918590,918590,918590,918590,918590,918590,918590,918590,918590,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990
12578009,ASUS KO 지포스 RTX 3070 O8G GAMING OC D6 8GB,790400,790400,790400,790400,790400,790400,790400,0,750000,0,750000,750000,768160,0,768160,768160,768160,790400,784260,790400,775160,775120,775080,775040,775010,776300,776300
7779559,ASUS PH 지포스 GTX 1650 O4G D5 4GB,278400,278400,278400,278400,278400,278400,278400,278400,278400,278400,278400,278400,278400,0,278400,278400,278400,278400,278400,278400,278400,278400,278400,278400,278400,278400,278400
14346383,ASUS PH 지포스 GTX 1650 O4G D6 4GB,501990,502970,502970,502970,502970,502970,502970,502970,502970,502970,502970,502970,502970,502910,502830,502760,502730,502660,502580,502510,502470,502450,502430,502410,502400,502370,502360
7463521,ASUS PH 지포스 GTX 1660 O6G D5 6GB,318520,318500,318430,318410,318340,318270,318250,318160,318110,318040,318020,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990
11645843,ASUS PH 지포스 GTX 1660 SUPER O6G D6 6GB,292400,292400,292400,292400,292400,292400,292400,292400,292400,292400,292400,292400,292400,292400,292400,292400,292400,292400,292400,290960,292400,424120,424120,424120,424120,424120,424120
13562696,ASUS ROG STRIX LC 라데온 RX 6800 XT O16G GAMING OC D6 16GB,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,2055170,0,2055170,2055170,2055170,2055170,1911310,1911310,1911310,1911310,1911310,1911310,1911310,1911310
13562870,ASUS ROG STRIX LC 라데온 RX 6900 XT O16G GAMING OC D6 16GB,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190,1696190
14452217,ASUS ROG STRIX LC 라데온 RX 6900 XT T16G GAMING D6 16GB 대원CTS,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000
17011961,ASUS ROG STRIX LC 지포스 RTX 3090 Ti O24G OC D6X 24GB (해외구매),4934840,4934820,4934750,4934730,4934670,4934640,4934580,4934560,4934530,4934460,4934440,4934370,4934360,4934260,4934180,4934110,4934080,3085290,3085290,3085270,3085220,3085200,3085180,3085160,3085150,3085120,3085110
10921320,ASUS ROG STRIX 라데온 RX 570 O8G GAMING D5 8GB 대원CTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577010,577010,577010,564700,577010,577010,577010,577010,558630,577010,577010,577010,567850
15013721,ASUS ROG STRIX 라데온 RX 6600 XT O8G GAMING OC D6 8GB 대원CTS,546870,546790,546690,546630,546580,546520,546460,546440,546350,546280,546250,546170,546090,546020,545990,545930,545910,545840,545810,545740,545690,545670,545650,545630,545620,545590,545580
13648004,ASUS ROG STRIX 라데온 RX 6700 XT O12G GAMING OC D6 12GB,1440000,1440000,1440000,1440000,1440000,1440000,1440000,1440000,1440000,1440000,1440000,1440000,1440000,1440000,0,1440000,1440000,1440000,1440000,1440000,1440000,1440000,1440000,1440000,1440000,1440000,1440000
13653392,ASUS ROG STRIX 라데온 RX 6700 XT O12G GAMING OC D6 12GB 대원CTS,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840,741840
13563083,ASUS ROG STRIX 라데온 RX 6800 O16G GAMING OC D6 16GB,897700,897680,897600,897530,897500,897420,897350,897310,897220,897150,897120,897100,897020,0,896840,896760,896660,896600,896580,896500,896440,896420,896400,896380,896370,896340,896330
12990398,ASUS ROG STRIX 라데온 RX 6800 O16G GAMING OC D6 16GB 대원CTS,897140,897070,896980,896900,896820,896750,896700,896680,896620,896540,896480,896410,896340,896240,896180,896160,896090,896060,895980,895900,895840,895820,895780,895760,895750,895720,895710
13467587,ASUS ROG STRIX 지포스 RTX 3060 O12G GAMING OC D6 12GB,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750,1005750
12821834,ASUS ROG STRIX 지포스 RTX 3060 Ti O8G GAMING OC D6 8GB,1134710,1134710,1134710,1134710,1134710,1134710,1134710,1134710,1134710,1108070,1108070,1108070,1108070,1108070,1108070,1108070,1126230,1126230,1126230,1126230,1126230,1114120,1114120,1114120,1114120,1114120,1114120
13212008,ASUS ROG STRIX 지포스 RTX 3070 O8G GAMING OC D6 8GB,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,875100,875000,875000,875000,875000,875000,875000,875100,875100,875100,875100,875100,875100
14490560,ASUS ROG STRIX 지포스 RTX 3070 O8G GAMING OC D6 8GB White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14444174,ASUS ROG STRIX 지포스 RTX 3070 Ti GAMING D6X 8GB,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990,1156990
14444267,ASUS ROG STRIX 지포스 RTX 3070 Ti O8G GAMING OC D6X 8GB,1008800,1008800,1008800,1008800,997990,1008800,1008800,0,1008800,1008800,1008800,1008800,1008800,1008800,1008800,1008800,1008800,1008800,1008800,1008800,1008800,1008800,1008800,1008800,1008800,1008800,1008800
16478888,ASUS ROG STRIX 지포스 RTX 3080 GAMING D6X 12GB,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990,1578990
